id,categoryl1,categoryl2,categoryl3,version,brand,product_code,image_url,status
119,护膝,髌骨带,压胶髌骨带,一代,SERUNA,BG05,./data/images/product_images/护膝/护膝_BG05.png,active
120,护膝,髌骨带,针织髌骨带,一代,TMT,E56,./data/images/product_images/护膝/护膝_E56.jpeg,active
121,护膝,髌骨带,针织髌骨带,一代,TMT,T85,./data/images/product_images/护膝/护膝_T85.webp,active
122,护膝,髌骨带,SBR双条,一代,TMT,FE36,./data/images/product_images/护膝/护膝_FE36.webp,active
123,护膝,髌骨带,SBR双条,一代,TMT,NT36,./data/images/product_images/护膝/护膝_NT36.jpeg,active
124,护膝,髌骨带,SBR双条,一代,SERUNA,BG03,./data/images/product_images/护膝/护膝_BG03.png,active
125,护膝,髌骨带,SBR双条,一代,JAFFICK,C-BG07,./data/images/product_images/护膝/护膝_C-BG07.webp,active
126,护膝,髌骨带,SBR双条,一代,ANTA,9826172506,./data/images/product_images/护膝/护膝_9826172506.png,active
127,护膝,防撞护膝,儿童运动,一代,TMT,K75,./data/images/product_images/护膝/护膝_K75.webp,active
128,护膝,防撞护膝,儿童爬行护膝,一代,TMT,HX89,./data/images/product_images/护膝/护膝_HX89.png,active
129,护膝,防撞护膝,儿童爬行护膝,一代,SERUNA,HX71,./data/images/product_images/护膝/护膝_HX71.png,active
130,护膝,防撞护膝,针织防撞,一代,TMT,HX25,./data/images/product_images/护膝/护膝_HX25.png,active
131,护膝,防撞护膝,针织防撞,一代,TMT,T88,./data/images/product_images/护膝/护膝_T88.webp,active
132,护膝,防撞护膝,开放式SBR防撞,一代,TMT,T22,./data/images/product_images/护膝/护膝_T22.webp,active
133,护膝,防撞护膝,开放式SBR防撞,一代,TMT,T81,./data/images/product_images/护膝/护膝_T81.png,active
134,护膝,SBR登山护膝,双绑带加压,一代,TMT,T67,./data/images/product_images/护膝/护膝_T67.png,active
135,护膝,SBR登山护膝,双绑带加压,一代,ANTA,9825172509,./data/images/product_images/护膝/护膝_9825172509.png,active
136,护膝,SBR登山护膝,三绑带加压（同侧）,一代,TMT,TF58,./data/images/product_images/护膝/护膝_TF58.png,active
137,护膝,SBR登山护膝,三绑带加压（同侧）,一代,TMT,T294,./data/images/product_images/护膝/护膝_T294.png,active
138,护膝,SBR登山护膝,三绑带加压（同侧）,一代,ANTA,9825172504,./data/images/product_images/护膝/护膝_9825172504.png,active
139,护膝,SBR登山护膝,三绑带加压（两侧）,一代,JAFFICK,C-HX101,./data/images/product_images/护膝/护膝_C-HX101.png,active
140,护膝,SBR登山护膝,四绑带加压（同侧）,一代,TMT,T28,./data/images/product_images/护膝/护膝_T28.png,active
141,护膝,SBR登山护膝,四绑带加压（同侧）,一代,ANTA,9825172503,./data/images/product_images/护膝/护膝_9825172503.png,active
142,护膝,SBR登山护膝,四绑带加压（同侧）,二代,TMT,HX63,./data/images/product_images/护膝/护膝_HX63.png,active
143,护膝,SBR登山护膝,后窝镂空,一代,TMT,T82,./data/images/product_images/护膝/护膝_T82.webp,active
144,护膝,轻薄护膝,前绑式轻薄,一代,TMT,958,./data/images/product_images/护膝/护膝_958.webp,active
145,护膝,轻薄护膝,后绑式轻薄,一代,TMT,HX39,./data/images/product_images/护膝/护膝_HX39.webp,active
146,护膝,助力护膝,后绑式轻薄,一代,TMT,HX53,./data/images/product_images/护膝/护膝_HX53.png,active
147,护膝,针织运动护膝,无支撑,一代,ANTA,1824572550,./data/images/product_images/护膝/护膝_1824572550.webp,active
148,护膝,针织运动护膝,无支撑,二代,TMT,HX85,./data/images/product_images/护膝/护膝_HX85.png,active
149,护膝,针织运动护膝,无支撑儿童,一代,TMT,H77,./data/images/product_images/护膝/护膝_H77.webp,active
150,护膝,针织运动护膝,无支撑儿童,一代,TMT,HX05,./data/images/product_images/护膝/护膝_HX05.png,active
151,护踝,轻薄扭伤护踝,轻薄扭伤（绑带款）,一代,TMT,HH01,./data/images/product_images/护踝/护踝_HH01_TMT.png,active
